ScriptOverhead = 9
1 3.54 0
2 4.3 0
3 3.6 0
4 4.84 0
5 6.82 108.24
6 4.74 45.7
7 3.4 61.4
8 6.72 77.3
9 5.98 77.28
10 4.2 36.46
11 1.86 36.1
12 3.32 43.48
13 4.44 30.36
14 4.46 31.74
15 2.6 32.6
16 5.64 30.48
17 5.48 35.4
18 9.68 24.1
19 1 13.8
20 1.56 9.12
